Global search interest for all coaches of the World Cup in the first week of the tournament (from 14-21 June 2018),,
"Data indexed from 0 to 100, where 100 means the highest search interest and 0, that there's not enough data",,
Coach,Country,Search index
Joachim Löw,Germany,100
Fernando Hierro,Spain,66
Jorge Sampaoli,Argentina,45
Héctor Cúper,Egypt,43
Gareth Southgate,England,39
Hervé Renard,Morocco,38
Carlos Queiroz,Iran,37
Óscar Tabárez,Uruguay,32
Tite,Brasil,32
Stanislav Cherchesov,Russia,31
Juan Carlos Osorio,Mexico,30
Aliou Cissé,Senegal,29
Juan Antonio Pizzi,Saudi Arabia,28
Didier Deschamps,França,24
Adam Nawałka,Poland,16
José Pékerman,Colombia,16
Akira Nishino,Japan,15
Ricardo Gareca,Peru,15
Bert van Marwijk,Australia,11
Vladimir Petković,Switzerland,11
Gernot Rohr,Nigeria,10
Roberto Martínez,Belgium,10
Fernando Santos,Portugal,7
Mladen Krstajić,Serbia,5
Åge Hareide,Denmark,4
Shin Tae-yong,South Korea,4
Zlatko Dalić,Croatia,4
Hernán Darío Gómez,Panama,3
Nabil Maâloul,Tunisia,3
Heimir Hallgrímsson,Iceland,2
Óscar Ramírez,Costa Rica,1
Janne Andersson,Sweden,1
